ID PDC local_x,Statut du Point de charge,Arrondissement_x,ID Station local,ID Station itinérance,Nom station,Code INSEE commune_x,Type implantation,Nombre point de recharge,Date mise à jour,Conditions d'accès,Adresse station_x,Paiement CB,Tarification,Date mise en service,Accessibilité PMR,Restriction gabarit,Stationnement 2 roues,Puissance max KW,Horaires,Statut du point de recharge,URL Description Point de charge,Heure mise à jour,latitude,longitude
FR*V75*EPX13*17*5,En service,13e Arrondissement,FR*V75*PPX13*17,FRV75PPX1317,Paris | Rue de Tolbiac 41,75113.0,Voirie,6,2021-09-23,Accès libre,41 Rue de Tolbiac 75013 Paris,True,https://belib.paris,2021-12-08,Non accessible,aucune restriction,False,7.0,24/7,Occupé (en charge),https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX07*11*1,2022-12-02T13:51:02+01:00,48.827972,2.372195
FR*V75*EPX14*13*7,En service,14e Arrondissement,FR*V75*PPX14*13,FRV75PPX1413,Paris | Boulevard Jourdan 26,75114.0,Voirie,7,2021-09-23,Accès libre,26 Boulevard Jourdan 75014 Paris,True,https://belib.paris,2021-10-19,Non accessible,aucune restriction,False,7.0,24/7,Occupé (en charge),https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*11*6,2022-12-02T13:48:09+01:00,48.82076,2.3370783
FR*V75*EPX14*13*6,En service,14e Arrondissement,FR*V75*PPX14*13,FRV75PPX1413,Paris | Boulevard Jourdan 26,75114.0,Voirie,7,2021-09-23,Accès libre,26 Boulevard Jourdan 75014 Paris,True,https://belib.paris,2021-10-19,Non accessible,aucune restriction,False,7.0,24/7,Occupé (en charge),https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX17*16*5,2022-12-02T13:49:28+01:00,48.82076,2.3370783
FR*V75*EPX15*33*1,En service,15e Arrondissement,FR*V75*PPX15*33,FRV75PPX1533,Paris | Rue de Vouillé 47,75115.0,Voirie,4,2021-09-23,Accès libre,47 Rue de Vouillé 75015 Paris,True,https://belib.paris,2021-11-09,Non accessible,aucune restriction,False,7.0,24/7,Disponible,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX15*29*3,2022-12-02T13:54:02+01:00,48.83389,2.3081343
FR*V75*EPX16*23*4,En service,16e Arrondissement,FR*V75*PPX16*23,FRV75PPX1623,Paris | Avenue Victor Hugo 18,75116.0,Voirie,6,2021-09-23,Accès libre,18 Avenue Victor Hugo 75016 Paris,True,https://belib.paris,2021-11-09,Non accessible,aucune restriction,False,7.0,24/7,Disponible,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX20*01*2,2022-12-02T13:46:54+01:00,48.87244,2.2915578
FR*V75*EPX17*19*3,En service,17e Arrondissement,FR*V75*PPX17*19,FRV75PPX1719,Paris | Rue Brémontier 19,75117.0,Voirie,7,2021-09-23,Accès libre,19 Rue Brémontier 75017 Paris,True,https://belib.paris,2021-12-14,Non accessible,aucune restriction,False,3.0,24/7,Disponible,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX16*12*6,2022-12-02T13:47:48+01:00,48.884953,2.3035011
FR*V75*EPX18*11*5,En service,18e Arrondissement,FR*V75*PPX18*11,FRV75PPX1811,Paris | Rue Ravignan 1bis,75118.0,Voirie,6,2021-09-23,Accès libre,1bis Rue Ravignan 75018 Paris,True,https://belib.paris,2021-12-14,Non accessible,aucune restriction,False,7.0,24/7,Disponible,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX07*15*2,2022-12-02T14:08:07+01:00,48.88508,2.3375535
FR*V75*EPX18*12*1,En service,18e Arrondissement,FR*V75*PPX18*12,FRV75PPX1812,Paris | Rue Ordener 120,75118.0,Voirie,5,2021-09-23,Accès libre,120 Rue Ordener 75018 Paris,True,https://belib.paris,2021-12-01,Non accessible,aucune restriction,False,7.0,24/7,Occupé (en charge),https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX19*10*1,2022-12-02T14:09:10+01:00,48.893276,2.3395
FR*V75*EPX18*14*2,En service,18e Arrondissement,FR*V75*PPX18*14,FRV75PPX1814,Paris | Avenue Rachel 1,75118.0,Voirie,5,2021-09-23,Accès libre,1 Avenue Rachel 75018 Paris,True,https://belib.paris,2021-12-01,Non accessible,aucune restriction,False,7.0,24/7,Disponible,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX05*10*2,2022-12-02T14:04:26+01:00,48.884415,2.3305461
FR*V75*EPX18*14*5,En service,18e Arrondissement,FR*V75*PPX18*14,FRV75PPX1814,Paris | Avenue Rachel 1,75118.0,Voirie,5,2021-09-23,Accès libre,1 Avenue Rachel 75018 Paris,True,https://belib.paris,2021-12-01,Non accessible,aucune restriction,False,7.0,24/7,Disponible,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9003*01*2,2022-12-02T14:02:45+01:00,48.884415,2.3305461
