,Arrondissement_x,Code INSEE commune_x,Type implantation,Nombre point de recharge,Paiement CB,Accessibilité PMR,Restriction gabarit,Stationnement 2 roues,Puissance max KW,Statut du point de recharge,Type de chargeur,latitude,longitude,Arrondissement_x_encode,Type implantation_encode,Paiement CB_encode,Accessibilité PMR_encode,Restriction gabarit_encode,Stationnement 2 roues_encode,Statut du point de recharge_encode,Type de chargeur_encode
583,13e Arrondissement,75113.0,Voirie,7,True,Réservé PMR,aucune restriction,False,7.0,Disponible,Prise type EF,48.82315,2.3753989,8,1,1,1,1,0,0,3
584,13e Arrondissement,75113.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.834526,2.353056,8,1,1,0,1,0,0,3
585,14e Arrondissement,75114.0,Voirie,4,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.831856,2.3202972,9,1,1,0,1,0,0,3
586,19e Arrondissement,75119.0,Voirie,7,True,Non accessible,aucune restriction,True,3.0,Disponible,Prise type EF,48.8792,2.3839,14,1,1,0,1,1,0,3
587,15e Arrondissement,75115.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.8472,2.2953,10,1,1,0,1,0,0,3
588,15e Arrondissement,75115.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.8472,2.2953,10,1,1,0,1,0,1,3
589,15e Arrondissement,75115.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.8432,2.3217,10,1,1,0,1,0,0,3
590,16e Arrondissement,75116.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.8534,2.2685,11,1,1,0,1,0,1,3
591,16e Arrondissement,75116.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.8534,2.2685,11,1,1,0,1,0,0,3
592,16e Arrondissement,75116.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.8685,2.2927,11,1,1,0,1,0,1,3
593,17e Arrondissement,75117.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.8914,2.304,12,1,1,0,1,0,0,3
594,17e Arrondissement,75117.0,Voirie,4,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.876,2.2884,12,1,1,0,1,0,1,3
595,17e Arrondissement,75117.0,Voirie,4,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.876,2.2884,12,1,1,0,1,0,0,3
596,19e Arrondissement,75119.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.8769,2.3812,14,1,1,0,1,0,1,3
597,Paris centre,75103.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.86235,2.3648512,16,1,1,0,1,0,1,3
598,Paris centre,75104.0,Voirie,4,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.858505,2.3543751,16,1,1,0,1,0,0,3
599,05e Arrondissement,75105.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.849903,2.3444285,0,1,1,0,1,0,1,3
600,07e Arrondissement,75107.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.859367,2.3195393,2,1,1,0,1,0,1,3
601,07e Arrondissement,75107.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.859367,2.3195393,2,1,1,0,1,0,0,3
602,08e Arrondissement,75108.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.877834,2.310832,3,1,1,0,1,0,0,3
603,09e Arrondissement,75109.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.875465,2.342083,4,1,1,0,1,0,0,3
604,10e Arrondissement,75110.0,Voirie,4,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.87407,2.3551424,5,1,1,0,1,0,0,3
605,12e Arrondissement,75112.0,Voirie,7,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.833412,2.388111,7,1,1,0,1,0,0,3
606,12e Arrondissement,75112.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.84154,2.389211,7,1,1,0,1,0,0,3
607,12e Arrondissement,75112.0,Voirie,7,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.840687,2.400428,7,1,1,0,1,0,1,3
608,12e Arrondissement,75112.0,Voirie,4,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.835518,2.3850355,7,1,1,0,1,0,0,3
609,12e Arrondissement,75112.0,Voirie,4,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.835518,2.3850355,7,1,1,0,1,0,1,3
611,13e Arrondissement,75113.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.827972,2.372195,8,1,1,0,1,0,1,3
612,14e Arrondissement,75114.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.82306,2.322823,9,1,1,0,1,0,1,3
613,15e Arrondissement,75115.0,Voirie,4,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.83389,2.3081343,10,1,1,0,1,0,0,3
614,15e Arrondissement,75115.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.844707,2.3198109,10,1,1,0,1,0,0,3
615,15e Arrondissement,75115.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.842644,2.313266,10,1,1,0,1,0,1,3
616,16e Arrondissement,75116.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.870342,2.286851,11,1,1,0,1,0,0,3
617,16e Arrondissement,75116.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.86697,2.2858796,11,1,1,0,1,0,1,3
618,17e Arrondissement,75117.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.878845,2.2878556,12,1,1,0,1,0,1,3
619,17e Arrondissement,75117.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.882423,2.2922037,12,1,1,0,1,0,0,3
620,19e Arrondissement,75119.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.882175,2.370891,14,1,1,0,1,0,0,3
621,19e Arrondissement,75119.0,Voirie,4,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.8766,2.3790176,14,1,1,0,1,0,1,3
622,20e Arrondissement,75120.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.87387,2.3864658,15,1,1,0,1,0,0,3
623,10e Arrondissement,75114.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.87484,2.36289,5,1,1,0,1,0,1,3
624,Paris centre,75104.0,Voirie,3,False,Non accessible,aucune restriction,False,4.0,Disponible,Prise type EF,48.856052,2.3537521,16,1,0,0,1,0,0,3
625,05e Arrondissement,75105.0,Voirie,3,False,Non accessible,aucune restriction,False,22.0,Disponible,Prise type EF,48.845715,2.345032,0,1,0,0,1,0,0,3
626,11e Arrondissement,75111.0,Voirie,3,False,Non accessible,aucune restriction,False,4.0,Occupé (en charge),Prise type EF,48.85895,2.379874,6,1,0,0,1,0,1,3
627,12e Arrondissement,75112.0,Voirie,3,False,Non accessible,aucune restriction,False,22.0,Occupé (en charge),Prise type EF,48.847446,2.38804,7,1,0,0,1,0,1,3
