;Statut du Point de charge;Arrondissement_x;ID Station local;ID Station itineerance;Nom station;Code INSEE commune_x;Type implantation;Nombre point de recharge;Date mise e  jour;Conditions d acces;Adresse station_x;Paiement CB;Tarification;Date mise en service;Accessibilitee PMR;Restriction gabarit;Stationnement 2 roues;Puissance max KW;Horaires;Type de chargeur;latitude;longitude;ID PDC local;Statut du point de recharge;URL Description Point de charge;Heure mise e  jour;Coordonneees geeographiques
1329;En service;07e Arrondissement;FR*V75*PPX07*13;FRV75PPX0713;Paris | Rue de Grenelle  152;75107.0;Voirie;6;23/09/2021;Acces libre;152 Rue de Grenelle 75007 Paris;TRUE;https://belib.paris;29/10/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.85806;2.310588;FR*V75*EPX15*07*2;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX15*07*2;2022-12-02T14:59:34+01:00;48.846703,2.2844167
1330;En service;09e Arrondissement;FR*V75*PPX09*08;FRV75PPX0908;Paris | boulevard Rochechouart 31;75109.0;Voirie;7;23/09/2021;Acces libre;31 boulevard Rochechouart 75009 Paris;TRUE;https://belib.paris;16/11/2021;Non accessible;aucune restriction;FALSE;3.0;24-juil;Prise type EF;48.882973;2.345487;FR*V75*E9015*07*1;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9015*07*1;2022-12-02T15:07:54+01:00;48.841286,2.296744
1331;En service;09e Arrondissement;FR*V75*PPX09*10;FRV75PPX0910;Paris | boulevard Haussmann 6;75109.0;Voirie;5;23/09/2021;Acces libre;6 boulevard Haussmann 75009 Paris;TRUE;https://belib.paris;26/10/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.87232;2.338776;FR*V75*EPX16*20*4;Occupee (en charge);https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX16*20*4;2022-12-02T08:58:14+01:00;48.8646,2.2754
1332;En service;10e Arrondissement;FR*V75*PPX10*09;FRV75PPX1009;Paris | boulevard de la Villette  55;75110.0;Voirie;5;23/09/2021;Acces libre;55 boulevard de la Villette 75010 Paris;TRUE;https://belib.paris;23/11/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.87565;2.372715;FR*V75*E9008*03*3;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9008*03*3;2022-12-02T06:30:11+01:00;48.875854,2.309542
1333;En service;11e Arrondissement;FR*V75*PPX11*16;FRV75PPX1116;Paris | Rue Roubo 1;75111.0;Voirie;5;23/09/2021;Acces libre;1 Rue Roubo 75011 Paris;TRUE;https://belib.paris;23/11/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.849968;2.387246;FR*V75*EPX17*06*3;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX17*06*3;2022-12-02T06:32:33+01:00;48.8955,2.3283
1334;En service;12e Arrondissement;FR*V75*PPX12*15;FRV75PPX1215;Paris | Rue Claude Decaen 26;75112.0;Voirie;7;23/09/2021;Acces libre;26 Rue Claude Decaen 75012 Paris;TRUE;https://belib.paris;12/10/2021;Non accessible;aucune restriction;FALSE;3.0;24-juil;Prise type EF;48.83519;2.4002905;FR*V75*EPX11*04*2;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX11*04*2;2022-12-02T08:10:14+01:00;48.857796,2.390264
1335;En service;12e Arrondissement;FR*V75*PPX12*13;FRV75PPX1213;Paris | cours de Vincennes 120;75112.0;Voirie;4;23/09/2021;Acces libre;120 cours de Vincennes 75012 Paris;TRUE;https://belib.paris;08/12/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.846306;2.410751;FR*V75*EPX14*08*2;Occupee (en charge);https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX14*08*2;2022-12-02T08:33:49+01:00;48.83951,2.3301675
1336;En service;13e Arrondissement;FR*V75*PPX13*14;FRV75PPX1314;Paris | Rue Marie-Andreee Lagroua Weil-Halle 2;75113.0;Voirie;4;23/09/2021;Acces libre;2 Rue Marie-Andreee Lagroua Weil-Halle 75013 Paris;TRUE;https://belib.paris;03/11/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.82764;2.3810866;FR*V75*EPX07*06*3;Occupee (en charge);https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX07*06*3;2022-12-02T08:27:57+01:00;48.85988,2.3245049
1337;En service;13e Arrondissement;FR*V75*PPX13*16;FRV75PPX1316;Paris | Rue de Tolbiac 147;75113.0;Voirie;6;03/11/2021;Acces libre;145 Rue de Tolbiac 75013 Paris;TRUE;https://belib.paris;03/11/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.826084;2.358049;FR*V75*EPX11*15*5;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX11*15*5;2022-12-02T10:35:07+01:00;48.85189,2.376434
1338;En service;13e Arrondissement;FR*V75*PPX13*19;FRV75PPX1319;Paris | Rue Jeanne D Arc 157;75113.0;Voirie;4;23/09/2021;Acces libre;157 Rue Jeanne D Arc 75013 Paris;TRUE;https://belib.paris;01/12/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.83656;2.3592348;FR*V75*E9002*03*1;En maintenance;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9002*03*1;2022-12-02T04:30:04+01:00;48.865788,2.342244
