ID PDC local;Statut du point de recharge;URL Description Point de charge;Heure mise à jour;Coordonnées géographiques;Adresse station;Code INSEE commune;Arrondissement
FR*V75*EPX14*09*5;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX14*09*5;2022-07-21T04:30:02+02:00;48.827686,2.3330016;33 Rue d'Alésia 75014 Paris;75114;14e Arrondissement
FR*V75*EPX14*09*4;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX14*09*4;2022-07-21T04:30:02+02:00;48.827686,2.3330016;33 Rue d'Alésia 75014 Paris;75114;14e Arrondissement
FR*V75*EPX14*09*6;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX14*09*6;2022-07-21T04:30:02+02:00;48.827686,2.3330016;33 Rue d'Alésia 75014 Paris;75114;14e Arrondissement
FR*V75*EPX14*09*1;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX14*09*1;2022-07-21T04:30:02+02:00;48.827686,2.3330016;33 Rue d'Alésia 75014 Paris;75114;14e Arrondissement
FR*V75*EPX14*09*2;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX14*09*2;2022-07-21T04:30:02+02:00;48.827686,2.3330016;33 Rue d'Alésia 75014 Paris;75114;14e Arrondissement
FR*V75*EPX14*09*3;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX14*09*3;2022-07-21T04:30:02+02:00;48.827686,2.3330016;33 Rue d'Alésia 75014 Paris;75114;14e Arrondissement
FR*V75*EPX20*09*4;Inconnu;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX20*09*4;2022-09-23T04:30:02+02:00;48.8731,2.4092;6 Rue Guébriant 75020 Paris;75120;20e Arrondissement
FR*V75*EPX20*09*2;Inconnu;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX20*09*2;2022-09-23T04:30:02+02:00;48.8731,2.4092;6 Rue Guébriant 75020 Paris;75120;20e Arrondissement
FR*V75*EPX20*09*3;Inconnu;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX20*09*3;2022-09-23T04:30:02+02:00;48.8731,2.4092;6 Rue Guébriant 75020 Paris;75120;20e Arrondissement
FR*V75*EPX20*09*6;Inconnu;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX20*09*6;2022-09-23T04:30:02+02:00;48.8731,2.4092;6 Rue Guébriant 75020 Paris;75120;20e Arrondissement
